CustomerID,Age,Gender,Location,MaritalStatus,PolicyType,PolicyStartDate,PolicyEndDate,Premium,RenewalStatus,NumClaims,ClaimAmount,ClaimSatisfaction,PaymentHistory,PaymentMethod,ChurnStatus,Region,State,Product,CustomerCategory
CS0000011,28,Male,Ibadan,Single,Health,10/03/2020,27/03/2024,244213.08,No,2,743150.36,2,On-time,Bank Transfer,No,NorthWest,Jigawa,Enhanced Motor 3rd Party,Corporate
CS0000012,28,Male,Abuja,Married,Home,12/05/2022,06/06/2023,223251.13,No,0,340285.63,4,On-time,Card Payment,Yes,SouthSouth,Rivers,Fire & Burglary,Corporate
CS0000013,41,Male,Port Harcourt,Married,Home,10/12/2018,21/12/2023,183200.41,Yes,1,582602.62,3,On-time,Card Payment,No,NorthWest,Kaduna,Burglary,Individual
CS0000014,53,Male,Kano,Widowed,Life,23/06/2015,04/03/2023,235185.07,No,4,381593.35,5,Late,Card Payment,Yes,SouthWest,Ekiti,Professional Indemnity,Corporate
CS0000015,57,Female,Lagos,Divorced,Auto,22/01/2017,20/05/2024,303030.51,Yes,1,527787.95,3,Late,Mobile Payment,No,SouthEast,Anambra,Motor 3rd Party,Corporate
CS0000016,41,Male,Kano,Married,Health,18/09/2015,12/01/2024,315857.71,Yes,4,775750.19,4,On-time,Mobile Payment,No,SouthSouth,Bayelsa,Fire & Burglary,Corporate
CS0000017,20,Male,Lagos,Widowed,Travel,17/06/2015,10/08/2023,421391.52,Yes,1,198441.7,5,On-time,Bank Transfer,Yes,NorthCentral,Kwara,Personal Accident,Corporate
CS0000018,39,Male,Port Harcourt,Divorced,Travel,18/07/2016,04/06/2023,331597.99,Yes,2,17136.37,4,Late,Mobile Payment,No,NorthWest,Katsina,Travel,Individual
CS0000019,19,Male,Abuja,Married,Health,09/08/2015,01/05/2024,435993.52,Yes,0,595898.88,3,Missed,Mobile Payment,No,SouthSouth,Edo,Professional Indemnity,Corporate
CS0000020,41,Male,Port Harcourt,Widowed,Life,21/04/2022,13/11/2023,331740.39,Yes,3,370180.16,3,Missed,Bank Transfer,No,SouthEast,Abia,Aviation,Individual
CS0000021,61,Male,Abuja,Single,Auto,24/09/2018,24/08/2023,181538.57,No,2,577875.59,4,Late,Mobile Payment,No,NorthCentral,FCT,Consequential Loss,Individual
CS0000022,47,Male,Ibadan,Single,Auto,21/05/2017,25/05/2024,319126.79,Yes,3,887850.72,5,On-time,Bank Transfer,No,SouthSouth,Edo,Contractors-All-Risk,Corporate
CS0000023,55,Female,Lagos,Married,Travel,07/03/2017,03/10/2023,367219.61,Yes,4,304300.42,4,Late,Mobile Payment,No,NorthEast,Gombe,Home,Individual
CS0000024,19,Female,Ibadan,Widowed,Auto,19/05/2022,14/12/2024,345970.65,Yes,2,970299.39,1,On-time,Card Payment,No,NorthCentral,Plateau,Fire & Burglary,Corporate
CS0000025,38,Male,Abuja,Divorced,Travel,04/02/2018,31/07/2023,426457.05,Yes,3,519031.35,2,On-time,Card Payment,No,NorthEast,Borno,Machine Breakdown,Individual
CS0000026,50,Female,Lagos,Single,Home,08/07/2016,12/11/2023,453733.23,Yes,3,732123.63,4,Missed,Bank Transfer,No,NorthWest,Kaduna,Professional Indemnity,Individual
CS0000027,29,Male,Lagos,Divorced,Life,30/12/2020,16/05/2024,174253.8,Yes,1,845875.26,4,On-time,Card Payment,Yes,NorthCentral,Benue,Plant-All-Risk,Corporate
CS0000028,39,Female,Ibadan,Widowed,Auto,14/06/2019,06/07/2023,48670.74,Yes,4,327703.64,1,On-time,Mobile Payment,Yes,SouthSouth,Cross-River,Consequential Loss,Individual
CS0000029,61,Male,Lagos,Single,Life,28/07/2021,15/02/2024,331641.24,Yes,4,15075.64,1,Late,Mobile Payment,No,SouthEast,Imo,Travel,Corporate
CS0000030,42,Male,Abuja,Married,Home,16/08/2015,12/09/2024,64028.7,Yes,1,286986.07,5,On-time,Mobile Payment,No,SouthSouth,Edo,Professional Indemnity,Corporate
CS0000031,66,Female,Abuja,Single,Health,30/05/2022,21/08/2023,443151.37,No,4,410119.91,2,On-time,Bank Transfer,Yes,SouthWest,Ekiti,All Risk Insurance,Corporate
CS0000032,44,Male,Ibadan,Married,Health,24/01/2018,27/07/2023,412860.64,Yes,2,810798.52,3,On-time,Bank Transfer,Yes,NorthWest,Kano,Aviation,Individual
CS0000033,59,Female,Port Harcourt,Divorced,Health,12/05/2016,18/06/2024,359628.63,Yes,4,479017.65,1,On-time,Bank Transfer,No,SouthEast,Anambra,Burglary,Individual
CS0000034,45,Male,Abuja,Single,Travel,21/10/2017,12/10/2023,463826.25,Yes,1,428568.73,2,On-time,Bank Transfer,No,SouthEast,Ebonyi,Motor 3rd Party,Corporate
CS0000035,33,Male,Abuja,Widowed,Travel,04/02/2021,27/10/2024,444719.71,Yes,0,817648.29,4,Missed,Mobile Payment,No,NorthWest,Katsina,Goods-In-Transit,Corporate
CS0000036,32,Male,Lagos,Divorced,Health,17/01/2021,01/05/2023,462237.38,Yes,0,825707.52,3,On-time,Bank Transfer,No,NorthWest,Katsina,Home,Corporate
CS0000037,64,Male,Lagos,Divorced,Home,11/04/2019,26/03/2024,370368,Yes,1,806852.89,2,On-time,Mobile Payment,No,NorthEast,Gombe,Bonds Insurance,Individual
CS0000038,68,Female,Abuja,Married,Travel,15/05/2020,31/10/2024,190543.62,Yes,2,672159.04,3,On-time,Bank Transfer,No,NorthWest,Jigawa,Bonds Insurance,Corporate
CS0000039,61,Male,Ibadan,Widowed,Health,06/11/2015,10/11/2023,33394.93,No,3,29563.62,2,On-time,Bank Transfer,No,NorthCentral,Kogi,Marine Insurance,Individual
CS0000040,69,Female,Port Harcourt,Divorced,Life,23/09/2020,16/04/2024,40164.68,No,3,353270.11,5,On-time,Bank Transfer,No,NorthCentral,Plateau,All Risk Insurance,Individual
CS0000041,20,Female,Lagos,Single,Health,18/08/2019,29/11/2024,398641.34,Yes,1,547778.78,4,On-time,Card Payment,No,NorthEast,Bauchi,Bonds Insurance,Corporate
CS0000042,54,Male,Lagos,Married,Health,06/11/2022,21/05/2023,103776.26,Yes,0,295022.52,4,Missed,Mobile Payment,Yes,NorthCentral,Kwara,Comprehensive Motor,Corporate
CS0000043,68,Male,Port Harcourt,Widowed,Life,31/07/2015,20/03/2024,163416.01,No,2,421830.11,4,On-time,Mobile Payment,No,SouthSouth,Delta,Aviation,Individual
CS0000044,24,Female,Lagos,Married,Travel,24/03/2019,17/06/2024,297192.25,Yes,3,108049.89,4,On-time,Mobile Payment,No,NorthWest,Zamfara,Plant-All-Risk,Individual
CS0000045,38,Female,Ibadan,Married,Life,25/02/2020,02/04/2024,74234.6,Yes,4,29224.26,5,On-time,Card Payment,Yes,NorthEast,Taraba,Marine Insurance,Individual
CS0000046,26,Male,Lagos,Divorced,Travel,27/03/2019,20/08/2024,492810.86,No,4,564738.18,5,Late,Bank Transfer,No,SouthEast,Anambra,Personal Accident,Individual
CS0000047,56,Female,Lagos,Single,Home,16/07/2021,29/04/2023,410380.32,Yes,0,726997.83,4,Late,Card Payment,No,SouthWest,Ondo,Fire & Burglary,Individual
CS0000048,35,Female,Abuja,Single,Travel,19/07/2015,16/05/2023,296508.3,Yes,0,538971.38,5,Missed,Mobile Payment,No,SouthEast,Abia,Personal Accident,Corporate
CS0000049,21,Female,Ibadan,Widowed,Auto,06/06/2022,02/11/2024,455144.83,Yes,2,346974.59,1,On-time,Card Payment,No,NorthCentral,Niger,Motor 3rd Party,Individual
CS0000050,42,Male,Ibadan,Widowed,Travel,16/07/2019,06/07/2024,251849.67,Yes,0,950868.13,2,On-time,Card Payment,No,SouthEast,Imo,Motor 3rd Party,Individual
CS0000051,31,Female,Abuja,Single,Auto,29/10/2015,08/08/2024,449503.99,No,0,221306.09,1,Late,Card Payment,No,SouthSouth,Delta,Home,Corporate
CS0000052,67,Female,Kano,Married,Travel,20/05/2015,10/04/2023,414730.29,No,0,518787.35,3,Late,Card Payment,No,NorthWest,Zamfara,Machine Breakdown,Individual
CS0000053,26,Female,Port Harcourt,Married,Life,16/01/2017,28/02/2024,16900.83,Yes,4,263043.16,2,On-time,Mobile Payment,No,NorthCentral,Nasarawa,Plant-All-Risk,Corporate
CS0000054,43,Female,Ibadan,Single,Travel,13/01/2015,12/11/2023,400401.82,Yes,2,946576.3,1,Late,Mobile Payment,No,SouthSouth,Cross-River,Marine Insurance,Corporate
CS0000055,19,Male,Kano,Divorced,Health,07/01/2016,28/06/2024,394125.52,Yes,3,13505.37,2,On-time,Card Payment,No,NorthWest,Zamfara,Plant-All-Risk,Corporate
CS0000056,37,Male,Port Harcourt,Married,Travel,20/12/2018,04/01/2024,165516.43,No,3,879727.17,2,On-time,Bank Transfer,Yes,SouthWest,Osun,Personal Accident,Individual
CS0000057,45,Female,Ibadan,Single,Life,09/10/2017,14/02/2023,251590.45,Yes,3,557634.56,5,On-time,Bank Transfer,No,SouthEast,Abia,Motor 3rd Party,Individual
CS0000058,64,Female,Lagos,Divorced,Life,19/11/2020,27/08/2024,77715.51,Yes,0,934911.29,4,Missed,Bank Transfer,Yes,NorthCentral,Kwara,Personal Accident,Corporate
CS0000059,24,Female,Ibadan,Married,Travel,17/11/2018,27/03/2023,336625.04,Yes,1,779815.66,2,On-time,Bank Transfer,Yes,NorthEast,Adamawa,Aviation,Corporate
CS0000060,61,Male,Port Harcourt,Widowed,Travel,26/07/2019,25/07/2024,340452.64,Yes,2,665183.39,3,On-time,Mobile Payment,No,NorthCentral,Plateau,Motor 3rd Party,Corporate
CS0000061,25,Male,Kano,Married,Travel,23/05/2017,19/10/2023,490914.83,Yes,1,750474.79,2,On-time,Bank Transfer,No,NorthCentral,Kogi,Burglary,Corporate
CS0000062,64,Female,Lagos,Married,Home,04/03/2019,11/02/2024,364149.09,Yes,3,829822.69,4,Missed,Bank Transfer,No,NorthEast,Borno,Professional Indemnity,Corporate
CS0000063,52,Female,Port Harcourt,Single,Auto,26/11/2022,16/08/2023,229200.55,No,4,299879.67,2,On-time,Mobile Payment,No,SouthWest,Ondo,Professional Indemnity,Corporate
CS0000064,31,Male,Port Harcourt,Married,Travel,14/12/2017,04/08/2024,98333.83,Yes,4,714231.95,4,On-time,Mobile Payment,No,SouthEast,Anambra,Goods-In-Transit,Individual
CS0000065,34,Female,Ibadan,Married,Travel,13/11/2020,01/07/2023,395980.55,Yes,1,131265.14,5,Missed,Card Payment,No,NorthEast,Gombe,Goods-In-Transit,Corporate
CS0000066,53,Female,Abuja,Divorced,Auto,29/08/2018,10/10/2023,183359.86,Yes,0,811809.51,5,Late,Mobile Payment,No,SouthEast,Imo,Plant-All-Risk,Individual
CS0000067,67,Male,Abuja,Single,Health,06/10/2021,12/06/2024,472425.09,Yes,1,945013.02,4,On-time,Bank Transfer,No,NorthWest,Jigawa,Marine Insurance,Corporate
CS0000068,57,Male,Lagos,Divorced,Home,29/10/2016,12/03/2024,145773.32,No,0,611585.1,3,On-time,Mobile Payment,Yes,NorthEast,Yobe,Bonds Insurance,Individual
CS0000069,21,Male,Port Harcourt,Widowed,Home,27/10/2016,20/06/2023,106335.56,No,3,873044.54,4,On-time,Mobile Payment,Yes,NorthEast,Gombe,Burglary,Individual
CS0000070,19,Male,Kano,Married,Health,19/05/2016,13/02/2023,314013.03,No,0,991922.34,4,On-time,Card Payment,No,NorthCentral,FCT,Goods-In-Transit,Corporate
CS0000071,23,Male,Lagos,Single,Auto,25/06/2019,26/10/2024,458659.3,Yes,1,161488.56,2,On-time,Mobile Payment,No,SouthEast,Anambra,Motor 3rd Party,Individual
CS0000072,59,Female,Lagos,Widowed,Auto,20/12/2015,06/06/2023,79123.04,Yes,4,259541.35,3,On-time,Card Payment,No,NorthEast,Taraba,All Risk Insurance,Individual
CS0000073,21,Male,Ibadan,Single,Life,31/08/2020,14/10/2024,30258.14,No,2,485770.04,1,On-time,Mobile Payment,No,NorthCentral,Nasarawa,Burglary,Corporate
CS0000074,46,Male,Kano,Married,Auto,22/06/2015,02/07/2023,484018.67,Yes,3,819984.81,5,On-time,Bank Transfer,No,SouthSouth,Delta,Professional Indemnity,Corporate
CS0000075,35,Male,Port Harcourt,Single,Home,26/05/2022,08/09/2023,76994.62,Yes,2,821292.08,4,On-time,Mobile Payment,No,SouthWest,Ekiti,Consequential Loss,Corporate
CS0000076,43,Male,Port Harcourt,Single,Life,01/11/2021,13/01/2024,307684.64,Yes,0,792732.72,2,Late,Mobile Payment,No,NorthCentral,Nasarawa,Fire & Burglary,Individual
CS0000077,61,Male,Port Harcourt,Divorced,Travel,07/10/2018,07/12/2024,107557.93,No,1,933680.77,5,On-time,Card Payment,No,SouthSouth,Rivers,Burglary,Corporate
CS0000078,51,Male,Lagos,Single,Travel,27/02/2019,07/09/2024,92164.1,Yes,2,905806.97,4,On-time,Bank Transfer,No,NorthEast,Adamawa,Travel,Individual
CS0000079,27,Female,Ibadan,Single,Travel,15/03/2018,15/02/2023,86462.25,Yes,1,463384.82,1,On-time,Bank Transfer,No,NorthEast,Bauchi,Consequential Loss,Individual
CS0000080,53,Male,Lagos,Divorced,Life,14/07/2018,12/12/2023,357885.42,Yes,0,858101.22,3,Late,Mobile Payment,Yes,SouthSouth,Akwa-Ibom,Enhanced Motor 3rd Party,Individual
CS0000081,31,Female,Abuja,Married,Home,21/09/2017,21/05/2024,382214.75,Yes,3,329570.25,5,On-time,Mobile Payment,No,NorthCentral,Plateau,Bonds Insurance,Corporate
CS0000082,48,Female,Abuja,Widowed,Auto,23/01/2016,11/07/2024,68702.09,Yes,4,827028.86,4,Late,Card Payment,No,SouthEast,Ebonyi,Fire & Special Perils,Individual
CS0000083,65,Male,Port Harcourt,Divorced,Life,03/02/2015,11/05/2023,76918.67,Yes,3,933097.26,4,Missed,Bank Transfer,No,SouthWest,Osun,Contractors-All-Risk,Individual
CS0000084,32,Male,Ibadan,Married,Home,31/10/2015,08/03/2024,467822.11,Yes,4,514278.32,3,On-time,Bank Transfer,Yes,SouthEast,Ebonyi,Plant-All-Risk,Individual
CS0000085,25,Female,Port Harcourt,Married,Auto,24/03/2015,06/11/2024,298541.34,Yes,2,72739.81,4,On-time,Card Payment,No,NorthWest,Zamfara,Contractors-All-Risk,Individual
CS0000086,31,Female,Port Harcourt,Widowed,Health,03/05/2019,18/11/2024,392834.74,No,2,483097.84,4,On-time,Bank Transfer,No,NorthCentral,FCT,Professional Indemnity,Individual
CS0000087,40,Female,Lagos,Married,Home,28/04/2016,26/04/2023,49472.65,No,1,265293,2,On-time,Card Payment,No,SouthEast,Anambra,Plant-All-Risk,Corporate
CS0000088,57,Male,Port Harcourt,Divorced,Health,30/11/2018,14/10/2024,35681.98,No,3,557388.26,5,On-time,Bank Transfer,No,NorthCentral,Plateau,Plant-All-Risk,Individual
CS0000089,38,Female,Port Harcourt,Married,Travel,02/01/2016,03/09/2023,204136.9,Yes,4,576147.21,3,Late,Mobile Payment,No,NorthCentral,Niger,Fire & Burglary,Corporate
CS0000090,33,Male,Ibadan,Widowed,Travel,25/06/2021,11/08/2023,282074.65,Yes,0,426457.78,5,Missed,Card Payment,No,NorthCentral,Niger,Fire & Burglary,Corporate
CS0000091,62,Male,Ibadan,Widowed,Home,27/09/2020,29/11/2024,192524.91,Yes,4,694809.63,2,On-time,Mobile Payment,Yes,SouthSouth,Rivers,Comprehensive Motor,Individual
CS0000092,35,Female,Ibadan,Divorced,Health,01/05/2022,08/09/2023,359581.92,Yes,1,486857.88,5,On-time,Mobile Payment,Yes,SouthSouth,Rivers,Machine Breakdown,Corporate
CS0000093,64,Male,Port Harcourt,Divorced,Life,15/09/2019,15/09/2024,338046.59,Yes,1,765612.97,2,On-time,Card Payment,No,SouthSouth,Delta,Personal Accident,Individual
CS0000094,41,Male,Ibadan,Married,Auto,16/06/2019,05/01/2024,228958.79,Yes,0,118705.74,1,On-time,Bank Transfer,Yes,SouthSouth,Bayelsa,Bonds Insurance,Individual
CS0000095,43,Female,Ibadan,Widowed,Travel,07/05/2021,13/02/2023,48914.95,Yes,2,765564.29,4,On-time,Card Payment,No,SouthWest,Ondo,Marine Insurance,Corporate
CS0000096,42,Female,Kano,Widowed,Travel,23/04/2016,07/06/2024,301807.93,Yes,2,572097.64,5,On-time,Bank Transfer,Yes,SouthWest,Ogun,Machine Breakdown,Corporate
CS0000097,62,Male,Kano,Married,Travel,21/07/2019,10/08/2024,128520.6,No,4,83753.22,4,On-time,Mobile Payment,No,NorthCentral,Niger,Oil & Gas,Corporate
CS0000098,58,Female,Abuja,Widowed,Travel,21/07/2021,25/12/2024,199060.6,Yes,2,248027.8,1,Missed,Mobile Payment,No,NorthCentral,Nasarawa,Motor 3rd Party,Individual
CS0000099,46,Male,Lagos,Divorced,Home,06/04/2020,29/07/2024,17054.94,Yes,4,162776.05,5,Late,Bank Transfer,Yes,SouthSouth,Bayelsa,Motor 3rd Party,Individual
CS0000100,32,Female,Lagos,Divorced,Home,22/08/2022,22/05/2023,265343,Yes,0,856383.08,3,On-time,Card Payment,No,SouthEast,Abia,Contractors-All-Risk,Individual
CS0000101,62,Female,Ibadan,Married,Health,10/04/2020,15/03/2023,352505.77,Yes,4,750427.08,5,On-time,Card Payment,No,NorthWest,Jigawa,Aviation,Corporate
CS0000102,18,Female,Abuja,Married,Life,04/12/2022,20/04/2024,292973.54,Yes,0,336048.8,2,On-time,Card Payment,No,SouthWest,Ogun,Machine Breakdown,Corporate
CS0000103,42,Female,Abuja,Married,Health,31/07/2015,05/05/2023,378272.43,Yes,0,893522.4,4,Missed,Mobile Payment,No,SouthEast,Anambra,Marine Insurance,Individual
CS0000104,24,Male,Kano,Divorced,Life,01/07/2017,13/01/2024,499713.66,No,1,790853.22,5,On-time,Card Payment,No,NorthWest,Kaduna,Burglary,Corporate
CS0000105,26,Female,Abuja,Divorced,Home,28/10/2020,12/12/2023,319958.22,Yes,1,74498.72,4,On-time,Bank Transfer,No,SouthEast,Abia,Motor 3rd Party,Corporate
CS0000106,41,Male,Port Harcourt,Widowed,Travel,22/04/2015,08/06/2023,118328.79,Yes,4,966123.72,2,On-time,Bank Transfer,No,SouthWest,Osun,Motor 3rd Party,Corporate
CS0000107,18,Male,Ibadan,Divorced,Health,05/10/2015,10/03/2024,290422.73,Yes,4,936652.28,3,On-time,Bank Transfer,No,SouthWest,Ondo,Contractors-All-Risk,Corporate
CS0000108,61,Female,Port Harcourt,Married,Life,12/09/2021,29/05/2023,130086.51,No,1,540740.26,5,On-time,Bank Transfer,No,NorthCentral,FCT,Bonds Insurance,Corporate
CS0000109,25,Female,Lagos,Single,Auto,03/01/2022,13/10/2023,171798.92,No,2,674586.58,5,On-time,Mobile Payment,No,SouthSouth,Edo,All Risk Insurance,Individual
CS0000110,41,Female,Kano,Single,Life,13/05/2019,03/12/2024,182501.54,Yes,1,529195.58,5,On-time,Bank Transfer,Yes,NorthCentral,Kwara,Machine Breakdown,Individual
CS0000111,28,Female,Port Harcourt,Single,Health,12/09/2022,11/03/2024,264792.92,Yes,1,431615.76,3,On-time,Bank Transfer,No,NorthCentral,Kogi,Contractors-All-Risk,Individual
CS0000112,68,Female,Ibadan,Single,Home,26/01/2020,18/03/2023,266628.64,Yes,1,192343.11,2,Late,Bank Transfer,No,SouthWest,Ogun,Home,Individual
CS0000113,34,Male,Port Harcourt,Single,Travel,07/07/2021,15/06/2024,336985.94,No,1,741447.63,5,On-time,Card Payment,Yes,SouthWest,Ekiti,Goods-In-Transit,Corporate
CS0000114,25,Female,Port Harcourt,Divorced,Auto,16/06/2015,13/10/2023,224485.04,Yes,1,117041.1,3,On-time,Bank Transfer,No,NorthEast,Yobe,Home,Individual
CS0000115,52,Male,Abuja,Married,Health,17/06/2017,11/06/2024,101970.66,Yes,0,712030.47,4,On-time,Bank Transfer,Yes,SouthWest,Oyo,Contractors-All-Risk,Individual
CS0000116,52,Male,Kano,Married,Home,27/10/2021,02/06/2023,250583.7,Yes,3,673804.73,2,On-time,Bank Transfer,No,SouthSouth,Delta,Aviation,Corporate
CS0000117,50,Male,Lagos,Widowed,Life,02/12/2018,15/05/2024,400269.52,No,1,985928.47,3,On-time,Bank Transfer,No,SouthSouth,Edo,Home,Individual
CS0000118,22,Male,Ibadan,Married,Home,02/01/2019,28/01/2024,354384.35,Yes,1,228314.92,2,Late,Bank Transfer,No,SouthSouth,Bayelsa,Motor 3rd Party,Corporate
CS0000119,59,Female,Ibadan,Widowed,Home,28/05/2016,21/08/2023,66485.66,Yes,0,605314.75,2,On-time,Card Payment,Yes,NorthWest,Zamfara,Goods-In-Transit,Individual
CS0000120,56,Female,Lagos,Married,Travel,11/02/2016,01/02/2023,474684.25,No,4,188068.27,1,On-time,Bank Transfer,No,SouthSouth,Rivers,Goods-In-Transit,Individual
CS0000121,58,Male,Ibadan,Widowed,Health,01/03/2022,14/09/2024,159856.01,No,4,664147.43,1,On-time,Bank Transfer,No,SouthWest,Ogun,Comprehensive Motor,Corporate
CS0000122,45,Male,Abuja,Widowed,Home,09/09/2017,09/10/2024,297364.58,No,2,515399.03,1,Missed,Card Payment,Yes,NorthEast,Bauchi,Marine Insurance,Corporate
CS0000123,24,Female,Port Harcourt,Married,Life,12/12/2016,29/11/2024,25713.33,Yes,2,342101.57,5,On-time,Bank Transfer,No,SouthWest,Ogun,Fire & Burglary,Individual
CS0000124,26,Male,Abuja,Single,Life,02/07/2019,06/01/2024,455643.58,Yes,3,648523.84,3,On-time,Bank Transfer,No,NorthCentral,FCT,Personal Accident,Corporate
CS0000125,25,Female,Abuja,Married,Travel,09/03/2018,16/03/2024,344950.09,No,0,568507.02,2,On-time,Mobile Payment,No,NorthWest,Kebbi,Marine Insurance,Individual
CS0000126,29,Male,Abuja,Married,Home,20/07/2015,20/04/2023,145267.01,Yes,0,751163.63,3,On-time,Card Payment,Yes,SouthEast,Ebonyi,All Risk Insurance,Corporate
CS0000127,51,Female,Lagos,Single,Life,03/04/2021,07/06/2023,344832.93,No,1,33754.19,3,On-time,Card Payment,No,NorthEast,Bauchi,Machine Breakdown,Individual
CS0000128,50,Male,Kano,Married,Life,01/12/2021,05/05/2023,153348.11,No,3,837775.68,3,Missed,Mobile Payment,No,NorthWest,Zamfara,Goods-In-Transit,Corporate
CS0000129,65,Male,Lagos,Widowed,Travel,17/03/2019,07/06/2023,137265.63,Yes,0,948348.87,2,Late,Card Payment,No,SouthWest,Ondo,Bonds Insurance,Corporate
CS0000130,40,Male,Lagos,Single,Home,05/03/2020,10/06/2023,229022.45,Yes,3,164942.87,1,Late,Mobile Payment,No,SouthWest,Ekiti,Personal Accident,Individual
CS0000131,41,Female,Abuja,Single,Travel,09/05/2019,02/05/2023,304031.89,No,2,224268.08,4,On-time,Card Payment,No,SouthSouth,Rivers,Comprehensive Motor,Individual
CS0000132,54,Female,Kano,Divorced,Home,08/09/2022,11/02/2024,112579.73,No,2,506507.63,2,On-time,Card Payment,No,NorthEast,Adamawa,Personal Accident,Individual
CS0000133,52,Female,Lagos,Widowed,Life,29/10/2022,21/02/2023,374023.49,Yes,1,705056.85,1,Late,Card Payment,No,SouthSouth,Cross-River,Plant-All-Risk,Corporate
CS0000134,61,Male,Kano,Widowed,Health,15/08/2017,27/03/2023,293245.17,Yes,1,462176.68,3,On-time,Card Payment,No,SouthEast,Enugu,Machine Breakdown,Individual
CS0000135,57,Male,Abuja,Married,Life,02/06/2016,09/03/2023,13655.48,Yes,4,461605.02,3,Late,Card Payment,Yes,NorthWest,Kaduna,Enhanced Motor 3rd Party,Individual
CS0000136,39,Male,Lagos,Married,Health,25/09/2021,27/04/2023,279194.18,Yes,0,998179.41,1,Late,Bank Transfer,Yes,NorthWest,Jigawa,Oil & Gas,Individual
CS0000137,44,Male,Kano,Widowed,Home,21/01/2017,22/11/2023,216248.29,Yes,0,354241.14,4,Late,Mobile Payment,No,NorthCentral,Benue,Contractors-All-Risk,Corporate
CS0000138,52,Male,Ibadan,Widowed,Home,03/12/2019,12/12/2024,337986.24,Yes,4,596427.56,1,On-time,Bank Transfer,No,SouthEast,Anambra,Goods-In-Transit,Corporate
CS0000139,18,Male,Lagos,Widowed,Auto,06/10/2022,05/11/2023,449913.15,Yes,0,821831.79,1,On-time,Bank Transfer,No,SouthEast,Ebonyi,Enhanced Motor 3rd Party,Individual
CS0000140,52,Female,Lagos,Married,Home,02/12/2016,14/08/2024,138698.16,Yes,0,186235.77,5,On-time,Mobile Payment,No,SouthSouth,Cross-River,Professional Indemnity,Individual
CS0000141,54,Female,Lagos,Widowed,Home,01/12/2022,18/11/2024,340103.31,Yes,1,955149.67,2,On-time,Bank Transfer,Yes,SouthEast,Abia,Contractors-All-Risk,Individual
CS0000142,64,Female,Kano,Widowed,Auto,12/01/2015,16/03/2024,84317.53,No,3,186922.98,3,Late,Card Payment,No,SouthEast,Ebonyi,Plant-All-Risk,Corporate
CS0000143,31,Male,Port Harcourt,Single,Health,05/12/2022,12/05/2023,51941.09,No,2,523188.73,1,Late,Mobile Payment,No,NorthEast,Borno,Contractors-All-Risk,Corporate
CS0000144,20,Female,Lagos,Widowed,Home,21/06/2015,28/03/2024,466595.95,Yes,2,568699.28,5,Late,Mobile Payment,No,NorthEast,Bauchi,Machine Breakdown,Corporate
CS0000145,18,Male,Ibadan,Divorced,Travel,07/11/2015,29/10/2024,432521.79,No,2,609971.83,5,On-time,Card Payment,No,NorthWest,Kano,Fire & Special Perils,Individual
CS0000146,22,Male,Ibadan,Married,Home,23/01/2018,17/05/2023,255688.33,Yes,0,124639.36,4,Missed,Bank Transfer,Yes,NorthEast,Yobe,Marine Insurance,Corporate
